-- No Theme --,-- Nici o tema --,module,Magento_Config
-- Please Select --,-- Selectati --,module,Magento_Backend
-- Please Select --,-- Selectati --,module,Magento_Catalog
-- Please select --,-- Selectati --,module,Magento_Catalog
-- Please Select --,-- Selectati --,module,Magento_Cms
-- Please Select --,-- Selectati --,module,Magento_Customer
%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface,%1 nu se extinde \Magento\Checkout\InformatiiClient\InterfataArticol,module,Magento_Checkout
%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface,%1 nu se extinde \Magento\Client\InformatiiClient\InterfataSursaSectiune,module,Magento_Customer
%1 doesn't extend \Magento\Framework\Filter\Template,%1 nu se extinde\Magento\Cadru\Filtru\sablon,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Layer\Filter\AbstractFilter,%1 nu se extinde \Magento\Catalog\Model\Nivel\Filtru\FiltruAbstract,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType,%1 nu se extinde \Magento\Catalog\Model\Produs\Optiune\Tip\TipImplicit,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType,%1 nu se extinde \Magento\Catalog\Model\Produs\Tip\TipAbstract,module,Magento_Catalog
%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price,%1 nu se extinde \Magento\Catalog\Model\Produs\Tip\Pret,module,Magento_Catalog
%1 doesn't extends \Magento\Framework\Model\AbstractModel,%1 nu se extinde \Magento\Cadru\Model\ModelAbstract,module,Magento_Catalog
"%1 for ""%2"".","%1 pentru ""%2"".",module,Magento_Wishlist
%1 for %2,%1 cu %2,module,Magento_Sales
%1 has been moved to your wish list.,%1 a fost mutat în lista dumneavoastra de dorinte.,module,Magento_Wishlist
%1 has been updated in your Wish List.,%1 a fost actualizat în lista dumneavoastra de dorinte.,module,Magento_Wishlist
%1 has reached a quantity of %2.,%1 a ajuns la cantitatea %2.,module,Magento_Catalog
"%1 indexer(s) are in ""Update by Schedule"" mode.","Indexatorii %1 sunt în modul ""Actualizare dupa program"" .",module,Magento_Indexer
"%1 indexer(s) are in ""Update on Save"" mode.","Indexatorii %1 sunt în modul ""Actualizare la salvare"" .",module,Magento_Indexer
%1 is available to buy in increments of %2,%1 este disponibil pentru cumparare numai în trepte de %2,module,Magento_CatalogInventory
%1 is not a correct comparison method.,%1 nu este o modalitate de comparatie corecta.,module,Magento_CatalogInventory
%1 Item,%1 Articol,module,Magento_Catalog
%1 Item,%1 articol,module,Magento_Theme
%1 Item(s),%1 articole,module,Magento_Theme
%1 items,%1 articole,module,Magento_Catalog
%1 Items,%1 Articole,module,Magento_Catalog
%1 items,%1 articole,module,Magento_Wishlist
%1 order(s) cannot be canceled.,Comenzile %1 nu pot fi anulate.,module,Magento_Sales
%1 order(s) have been released from on hold status.,%1 comenzi au fost deblocate din statusul în asteptare.,module,Magento_Sales
%1 order(s) were not put on hold.,%1 comenzi au fost puse în asteptare.,module,Magento_Sales
%1 order(s) were not released from on hold status.,%1 comenzi nu au fost deblocate din statusul în asteptare.,module,Magento_Sales
%1 product(s) have been added to shopping cart: %2.,Produsele %1 au fost adaugate în cosul de cumparaturi %2.,module,Magento_Wishlist
%1 Review(s),%1 Recenzii,module,Magento_Review
%1 was not found in algorithms,%1 nu a fost gasit în algoritmi,module,Magento_Catalog
